,0,0,0
0,哪有喝汤的地方？,2,5.0
1,有没有做激素检测？,5,5.0
2,还能是什么？,9,5.0
3,舱内有干衣机，为什么还要晾衣服？,9,5.0
4,我说刚果红，还会有别的意思吗？,9,5.0
5,送货上门送不送本部啊？,5,5.0
6,关于2016司考那段备考路，你还能记得哪些事儿？,4,5.0
7,胸。吗？,5,5.0
8,2小时了，怎么还没有啊？,3,5.0
9,你不离开吗？,9,5.0
10,谁能知道今年过年的天气怎么样呢？,8,5.0
11,你有更好的主意么？,5,5.0
12,裤子她们都留下了？要不你给我调一条吧。,5,5.0
13,又出来条母狗？哈，还是无敌的母狗,5,5.0
14,你今天跟她出去了？,5,5.0
15,你什么时候到，我去接你,1,5.0
16,他怎么样了？,8,5.0
17,你似乎有兴趣啊，兄弟，要不要来一把？,5,5.0
18,什么时候有空啊,1,5.0
19,捕鱼达人半天690分算什么水平？,4,5.0
20,如果又没用呢？,8,5.0
21,我怎么知道？,9,5.0
22,你谁啊？,4,5.0
23,雾霾影响手机网络信号，产生了交易亏损，该向谁理赔？,4,5.0
24,这你妈的你受打击了啊？,5,5.0
25,你跑来的？,5,5.0
26,春天来了，怎么办？该怎么办呢？,8,5.0
27,哈羊排吗？,5,5.0
28,要不你明天？,8,5.0
29,凌晨还不睡觉，你真的很不开心啊？,9,5.0
30,你来干嘛呀？帮我撬门呀？呵,9,5.0
31,打电话给你朋友没？,5,5.0
32,每个袋里面几个球？还是无所谓？,6,5.0
33,他怎么了,8,5.0
34,这是单车打气筒？,5,5.0
35,哈为啥？,3,5.0
36,要不打个电话问？,8,5.0
37,星期六。日放监，谁要大啤？谁要？,4,5.0
38,你咋过？,8,5.0
39,你怎么知道我们还会在一起？,8,5.0
40,她怎么说？,8,5.0
41,真有“孕傻”这一说啊怀过孕的朋友讲呢？,8,5.0
42,明天去练车吗？,5,5.0
43,这个点了，35集，还要不要再继续几集？,5,5.0
44,肯尼迪总统哪年遇刺身亡？,1,5.0
45,有空吗？,5,5.0
46,你会给我一些药片么？,5,5.0
47,你什么时候对唱歌感兴趣了？,1,5.0
48,过敏了，身上奇痒，挠的皮肤起疙瘩，这是咋回事啊？,8,5.0
49,他会变好一点？,5,5.0
50,很有兴趣知道是谁？,4,5.0
51,难道没疯么？,9,5.0
52,开学感觉何如？,8,5.0
53,你还好吗？,8,5.0
54,是这个测试的副作用吗,5,5.0
55,瑞玲，起床了没？,5,5.0
56,能告诉我在我下来前这儿发生了什么，John？,0,5.0
57,新安，你怎么了？这水是黄河水？,8,5.0
58,七月十四到了么？,5,5.0
59,等孩子告诉我们？,5,5.0
60,你怎么不买给我吃叻？,3,5.0
61,那是什么？,0,5.0
62,你也有周末？,9,5.0
63,她们晚上要学到12点儿？,5,5.0
64,你买了多少房子啦？,6,5.0
65,在学校吗？吃饭了没？,5,5.0
66,你是谁？13号吗？,4,5.0
67,童佳倩你在哪里，你快点出来可以吗？,2,5.0
68,我报名，有啥条件？,0,5.0
69,你知道吗？,5,5.0
70,你当你穿越酸涩的音乐和一个助手，你得到了什么？,0,5.0
71,老张，晚上出去吃饭，去不？,8,5.0
72,为什么老一辈人的嗓门都特大？,3,5.0
73,在哪里上课？,2,5.0
74,我今天怎么了啊？,8,5.0
75,2小时前你怎么不在呢？,3,5.0
76,不回了，你还回啊？,9,5.0
77,急性呼吸窘迫综合征有什么不妥？,0,5.0
78,最近有什么心事吗？,0,5.0
79,你是说你男朋友？,5,5.0
80,老侯微信名叫啥啊？,0,5.0
81,8月多少呢？,1,5.0
82,想问大家三星的手机怎么样？,8,5.0
83,那能提供些什么呢？徐州的新出的新鲜事物？,0,5.0
84,是不没给你插头？,5,5.0
85,你最想对你心里那个不可能的人，说点什么？,0,5.0
86,有木有人一起去看苏打绿演唱会？,5,5.0
87,你去哪实习了？,2,5.0
88,伤者的情况？,8,5.0
89,好像在8秒前排除了那个吧？,5,5.0
90,怎么了？你叫啥名儿？宁国哥？,0,5.0
91,这会你看收到了没？,5,5.0
92,如何成为一个好医生。成长的路应该是怎样的？,8,5.0
93,你又在做头发？,5,5.0
94,中午点了回锅肉，和一个煎荷包蛋，这午餐咋样？,8,5.0
95,你为什么不帮我？,3,5.0
96,你对他什么感觉？,0,5.0
97,我要买相机，谁有好的推荐？,4,5.0
98,两个人在一起，你会选择合适的人，还是会选择你爱的人？,5,5.0
99,可能走不过？,5,5.0
100,我发现在一些事我看的很开，难道是我变成熟了？,5,5.0
101,想我了吗,5,5.0
102,Bone在哪里？,2,5.0
103,啥意思？,0,5.0
104,阿芬叫你不要回去复读？,5,5.0
105,怎么复制不了？,3,5.0
106,怎么了？,8,5.0
107,大葛好，想好今晚吃啥了吗？,0,5.0
108,阿拉伯人？,5,5.0
109,好美！是真的吗？,5,5.0
110,晚上过下雨阴天吧？,5,5.0
111,很有趣，昙花一现？,5,5.0
112,你们不服从经纪公司安排想被雪藏妈？,5,5.0
113,证明开了没？,5,5.0
114,你亲她不亲我吗？,9,5.0
115,恩的，好累啊，你回来了没有？,5,5.0
116,你信我还是不信我，Bone？,5,5.0
117,那么，是谁找到谁的？,4,5.0
118,棉花糖是最畅销的口味？,5,5.0
119,没有现货吗？,5,5.0
120,票你要是不要？,5,5.0
121,地震又来了，缅甸，泰国，台湾。下一个会是谁？,4,5.0
122,哪儿弄得啊？,2,5.0
123,几元钱？,7,5.0
124,可爱的人不漂亮哦，你说我到底是可爱还是漂亮？,4,5.0
125,胃肠造影？,5,5.0
126,你好么？,8,5.0
127,Kate在哪儿？,2,5.0
128,那么着急回干嘛,0,5.0
129,那为什么缘脑不活跃呢？,3,5.0
130,你母亲是否很痛？,5,5.0
131,知道他再哪部？,2,5.0
132,你想怎样？招募女友中吗？,8,5.0
133,多大面积？,7,5.0
134,飞机坠毁，恩？呃，到底怎么回事？,8,5.0
135,难过的时候就应该做件好事我要捐钱，该找谁？,4,5.0
136,我想让你痛苦这个原因可以吗？,8,5.0
137,它们离开水也能活？,5,5.0
138,小童在家？,5,5.0
139,忙不过来了？去帮忙？,5,5.0
140,怎么他醒了？,5,5.0
141,在哪儿？,2,5.0
142,有人看到流星雨吗？,5,5.0
143,啥时候走？,1,5.0
144,是么？你这么认为？,9,5.0
145,房子成交了？,5,5.0
146,最近由高圆黄海波主演的电视剧叫啥来着？,0,5.0
147,你赶得上车吗,5,5.0
148,我也想去听这种演讲，怎么获得入场券啊,8,5.0
149,哎，你怎么回事,8,5.0
150,我在上课。做么？,8,5.0
151,5.14答辩了。朋友们准备好了吗？,5,5.0
152,那你自己来？,8,5.0
153,你想让我变的和其他人一样？,5,5.0
154,知道我今天为什么给你打电话吗？,3,5.0
155,也许是坏水果？生吃的鱼？,5,5.0
156,Locke，你在干什么？,0,5.0
157,这就是他？,5,5.0
158,你现在打算怎么办,8,5.0
159,在哪啊？,2,5.0
160,那是谁干的，Jack？,4,5.0
161,怎么了？,8,5.0
162,但那是完全无私又付出的爱吗？,9,5.0
163,路上还好吗？,8,5.0
164,那是准我把照片八出来呢？还是准我八出来呢？,9,5.0
165,一直以来？为什么你什么都不说？,5,5.0
166,那么我们应该什么时候走？,1,5.0
167,他们抓你们的时候你为什么不用？,3,5.0
168,那娘您说怎么办？,8,5.0
169,你和他说了？,5,5.0
170,好了，那现在呢？,8,5.0
171,咋这么潇洒！何时回啊？,1,5.0
172,如此而已？这就是你的论据？,9,5.0
173,我认为，沙丘是一个极好的故事。你看电影？,5,5.0
174,这是一个定义还是建议？,5,5.0
175,你有什么病？,0,5.0
176,这么多年，终于出现别的女生。这句话言外之意是？,0,5.0
177,洪老师启当过兵？,5,5.0
178,看来懒人还真不少啊？还有吗？,5,5.0
179,哈，你说呢？,8,5.0
180,到底什么才是被很爱很爱很爱很爱很爱的感觉？,0,5.0
181,谁能明白这种感觉？,4,5.0
182,啥时候去最好呢？,1,5.0
183,坐轮椅的那位？,4,5.0
184,体重，身高？,7,5.0
185,这谁定的？杨所？,4,5.0
186,正常情况下，一个全家桶够几个人吃啊？,6,5.0
187,广告监测呢？,8,5.0
188,那又怎样？要不我回去再等你三个小时？,9,5.0
189,好想你呀，你想我了吗？,5,5.0
190,你现在做什么去了？,0,5.0
191,饺子，是怎么包的？,8,5.0
192,你去哪了？,2,5.0
193,他到底做了什么？,0,5.0
194,我的电话号码多少？,0,5.0
195,有人说过吗,5,5.0
196,车票是不是要提前十天放票？,5,5.0
197,不找就是不见了？不见就是散了？,9,5.0
198,回来了？家里没大事吧？,5,5.0
199,没有拍背，说些鼓励的话？,5,5.0
200,乱的房间才体现感性的生活气息，不是吗？,9,5.0
201,有什么方法可以减肥不瘦胸的？,4,5.0
202,你私处长毛了吗？,5,5.0
203,你呆卖噢？,8,5.0
204,走，游一圈去？,8,5.0
205,走，游一圈去？,8,5.0
206,你叫什么,0,5.0
207,如果还能活一分钟，你会做什么？,0,5.0
208,你还不明白吗，Sun？,9,5.0
209,你还清醒么？,5,5.0
210,老妹的功夫到第几重了？,4,5.0
211,你为什么不跟任何人说？,3,5.0
212,有几分像周年纪念，是么？,5,5.0
213,恩的，好累啊，你回来了没有？,5,5.0
214,是他和他？这是哪门子逻辑？,9,5.0
215,哪些东西？,4,5.0
216,上山下乡？,5,5.0
217,对把对把哈有明天一起？,8,5.0
218,在干嘛呀？上课了没？,0,5.0
219,你那个药房的同事叫什么？,0,5.0
220,到底是怎么回事？,0,5.0
221,你为什么那么做？,3,5.0
222,移除瓣膜？,5,5.0
223,真搞不懂你为何骂茅先生，赶红潮时髦？,3,5.0
224,如果我不吃那药呢？,8,5.0
225,你最喜欢什么颜色？,4,5.0
226,护士告诉你我丈夫的事的？,4,5.0
227,那你选好参赛歌曲了？,5,5.0
228,他是不是坚持要脊髓神经？,5,5.0
229,你是在开玩笑吗？,9,5.0
230,天秤座的小伙伴，你们遇到这情况，纠结不？,5,5.0
231,家里没人？,5,5.0
232,嗯，你们两吃了没,5,5.0
233,和海藻一起吃月饼？,9,5.0
234,他又跳什么了。,0,5.0
235,抹香鲸是会拉龙诞香的生物么？,5,5.0
236,姐你还没回家啊？,9,5.0
237,改变都是不好的吗？,5,5.0
238,你能给我开些止痛药吗？,5,5.0
239,你就不能摸一下？,9,5.0
240,最近好想幂姐，很想见幂，有什么方法解一下么？,0,5.0
241,是老板还是老湿？,5,5.0
242,我怎么会引发他的心脏病？,9,5.0
243,你结婚了吧？,5,5.0
244,还好吧，你最近如何,8,5.0
245,怎么会了却不干活了？,8,5.0
246,别的地方有毛病怎么发现？,8,5.0
247,他什么时间去的？,1,5.0
248,考试名称？,0,5.0
249,准备怎么庆祝啊？,8,5.0
250,后天要不要去呢？,5,5.0
251,你下午几点过了拿？,4,5.0
252,好的，哈，啊矮晚上有去吗,5,5.0
253,林依晨？,5,5.0
254,怎样能让电脑神不知鬼不觉地歇菜？求高手指教！,8,5.0
255,你的第二个梦想？,0,5.0
256,想给自己买件漂亮裙子？,5,
257,巨额补贴谁来负担？,4,
258,为什么会让别人替你收拾了？,3,
259,零的百分之五十是多少呀,0,
260,这是什么？,0,
261,15天就可以学会吗？和英语比的话，哪一个难点呢,5,
262,几十万？不大认识香奈儿的表,9,
263,核心思想是什么,0,
264,打架了吗？,5,
265,不会说话的人，总会吃亏！应该怎么办？,8,
266,啊，剑无极，为什么这么有师兄力？,3,
267,有空吗？,5,
268,一个人，去吃点啥好呢？求推荐,0,
269,他叫什么名字？,0,
270,Derek。你是不是很爱她？,5,
271,话题是星座还是八卦？,4,
272,你最喜欢什么书？,0,
273,你在这个岛上还见过其他人吗？,5,
274,调查下：内地男艺人气排名前5，依序是？,0,
275,你那时好像是去做国庆直播报道？,5,
276,开心。明天有活动吗？,5,
277,如果我想停下我该怎么说？,8,
278,什么地方这么荒？,0,
279,吃饭了没，,5,
280,两位大叔是直的？,5,
281,你化妆了啊？谁帮你化的啊？,4,
282,用来干什么？,0,
283,今天来上课？,5,
284,你的血型是什么？,0,
285,你花这么久才提到？,8,
286,晕，没有状态，精神恍惚，这是怎么了？,8,
287,好肚痛啊我是不是快要死了？,5,
288,您好，请问房子的block是？,0,
289,告诉你要全力配合我？,9,
290,要多少姐？我提前给你订上。,6,
291,现在那呀？,2,
292,什么？为什么？,3,
293,怎么这么晚还没回来？,8,
294,什么是晶体,0,
295,Bone，你看到什么了？,0,
296,你当你穿越兔子和草坪洒水你会得到什么？,0,
297,有发展空间吗？,5,
298,豪斯跟他的徒弟们去吃午饭？,5,
299,心乱了，怎么办？怎么会这样？,8,
